Common name,GPCRdb ID,Type,Reference ligand,Fold selectivity (Affinity),# tested GPCRs (Affinity),Species,Mol weight,Rot bonds,H don,H acc,LogP,Smiles
7-methoxy-1-naphthylpiperazine,182,Smallmolecule,None,-3,3,Human,275,6,1,3,2.2,O=C(OCC1OC1)NCC[Si]([Si](C)(C)C)(C)C
8-OH-DPAT,186,Smallmolecule,UNDEFINED,-1,44,Human,247,5,1,2,3.4,CCCN(C1CCc2c(C1)c(O)ccc2)CCC
8-OH-DPAT,186,Smallmolecule,UNDEFINED,-1,44,Human,247,5,1,2,3.4,CCCN(C1CCc2c(C1)c(O)ccc2)CCC
8-OH-DPAT,186,Smallmolecule,UNDEFINED,-1,44,Human,247,5,1,2,3.4,CCCN(C1CCc2c(C1)c(O)ccc2)CCC
8-OH-DPAT,186,Smallmolecule,UNDEFINED,-1,44,Human,247,5,1,2,3.4,CCCN(C1CCc2c(C1)c(O)ccc2)CCC
8-OH-DPAT,186,Smallmolecule,UNDEFINED,-1,44,Human,247,5,1,2,3.4,CCCN(C1CCc2c(C1)c(O)ccc2)CCC
8-OH-DPAT,186,Smallmolecule,UNDEFINED,-1,44,Human,247,5,1,2,3.4,CCCN(C1CCc2c(C1)c(O)ccc2)CCC
9-OH-risperidone,188,Smallmolecule,None,-630,6,Human,426,4,1,7,2.6,OC1CCc2n(C1)c(=O)c(c(n2)C)CCN1CCC(CC1)c1noc2c1ccc(c2)F
apomorphine,441,Smallmolecule,None,-19,24,Human,267,0,2,3,2.9,CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O
apomorphine,441,Smallmolecule,None,-19,24,Human,267,0,2,3,2.9,CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O
apomorphine,441,Smallmolecule,None,-19,24,Human,267,0,2,3,2.9,CN1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O
aripiprazole,467,Smallmolecule,None,-6,51,Human,447,7,1,4,4.9,O=C1CCc2c(N1)cc(cc2)OCCCCN1CCN(CC1)c1cccc(c1Cl)Cl
aripiprazole,467,Smallmolecule,None,-6,51,Human,447,7,1,4,4.9,O=C1CCc2c(N1)cc(cc2)OCCCCN1CCN(CC1)c1cccc(c1Cl)Cl
aripiprazole,467,Smallmolecule,None,-6,51,Human,447,7,1,4,4.9,O=C1CCc2c(N1)cc(cc2)OCCCCN1CCN(CC1)c1cccc(c1Cl)Cl
aripiprazole,467,Smallmolecule,None,-6,51,Human,447,7,1,4,4.9,O=C1CCc2c(N1)cc(cc2)OCCCCN1CCN(CC1)c1cccc(c1Cl)Cl
aripiprazole,467,Smallmolecule,None,-6,51,Human,447,7,1,4,4.9,O=C1CCc2c(N1)cc(cc2)OCCCCN1CCN(CC1)c1cccc(c1Cl)Cl
asenapine,491,Smallmolecule,None,-117,10,Human,285,0,0,2,4.3,Clc1ccc2c(c1)[C@H]1CN(C[C@@H]1c1c(O2)cccc1)C
BMY-14802,686,Smallmolecule,None,-,1,Human,348,6,1,5,2.4,Fc1ccc(cc1)C(CCCN1CCN(CC1)c1ncc(cn1)F)O
BMY-7378,688,Smallmolecule,None,1,12,Human,385,5,0,5,2.5,COc1ccccc1N1CCN(CC1)CCN1C(=O)CC2(CC1=O)CCCC2
BRL-15572,715,Smallmolecule,None,-1,9,Human,406,6,1,3,4.7,Clc1cccc(c1)N1CCN(CC1)CC(C(c1ccccc1)c1ccccc1)O
bromocriptine,720,Smallmolecule,3H-8-OH-DPAT,-18,35,Human,653,5,3,6,3.2,CC(C[C@H]1C(=O)N2CCC[C@H]2[C@]2(N1C(=O)[C@@](O2)(NC(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c([nH]3)Br)C(C)C)O)C
bromocriptine,720,Smallmolecule,3H-8-OH-DPAT,-18,35,Human,653,5,3,6,3.2,CC(C[C@H]1C(=O)N2CCC[C@H]2[C@]2(N1C(=O)[C@@](O2)(NC(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c([nH]3)Br)C(C)C)O)C
bromocriptine,720,Smallmolecule,3H-8-OH-DPAT,-18,35,Human,653,5,3,6,3.2,CC(C[C@H]1C(=O)N2CCC[C@H]2[C@]2(N1C(=O)[C@@](O2)(NC(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c([nH]3)Br)C(C)C)O)C
bromocriptine,720,Smallmolecule,3H-8-OH-DPAT,-18,35,Human,653,5,3,6,3.2,CC(C[C@H]1C(=O)N2CCC[C@H]2[C@]2(N1C(=O)[C@@](O2)(NC(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c([nH]3)Br)C(C)C)O)C
buspirone,734,Smallmolecule,UNDEFINED,-2,28,Human,385,6,0,6,2.1,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1
buspirone,734,Smallmolecule,UNDEFINED,-2,28,Human,385,6,0,6,2.1,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1
buspirone,734,Smallmolecule,UNDEFINED,-2,28,Human,385,6,0,6,2.1,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1
buspirone,734,Smallmolecule,UNDEFINED,-2,28,Human,385,6,0,6,2.1,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1
buspirone,734,Smallmolecule,UNDEFINED,-2,28,Human,385,6,0,6,2.1,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1
buspirone,734,Smallmolecule,UNDEFINED,-2,28,Human,385,6,0,6,2.1,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1
(+)-butaclamol,735,Smallmolecule,3H-8-OH-DPAT,-1122,24,Human,361,0,1,2,4.8,O[C@]1(CCN2[C@@H](C1)c1cccc3c1[C@@H](C2)c1ccccc1CC3)C(C)(C)C
(+)-butaclamol,735,Smallmolecule,3H-8-OH-DPAT,-1122,24,Human,361,0,1,2,4.8,O[C@]1(CCN2[C@@H](C1)c1cccc3c1[C@@H](C2)c1ccccc1CC3)C(C)(C)C
cabergoline,766,Smallmolecule,None,-5,17,Human,451,8,2,4,3.2,C=CCN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3c1c2ccc3)C(=O)N(C(=O)NCC)CCCN(C)C
cabergoline,766,Smallmolecule,None,-5,17,Human,451,8,2,4,3.2,C=CCN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3c1c2ccc3)C(=O)N(C(=O)NCC)CCCN(C)C
capeserod,780,Smallmolecule,None,-1584,9,Human,456,5,1,8,3.4,Nc1c(Cl)cc(c2c1OCCO2)c1nn(c(=O)o1)C1CCN(CC1)CCc1ccccc1
chlorpromazine,906,Smallmolecule,3H-8-OH-DPAT,-275,72,Human,318,4,0,3,4.9,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C
chlorpromazine,906,Smallmolecule,3H-8-OH-DPAT,-275,72,Human,318,4,0,3,4.9,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C
chlorpromazine,906,Smallmolecule,3H-8-OH-DPAT,-275,72,Human,318,4,0,3,4.9,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C
chlorpromazine,906,Smallmolecule,3H-8-OH-DPAT,-275,72,Human,318,4,0,3,4.9,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C
clozapine,944,Smallmolecule,None,-50,91,Human,326,0,1,4,3.7,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2c1cccc2
clozapine,944,Smallmolecule,None,-50,91,Human,326,0,1,4,3.7,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2c1cccc2
clozapine,944,Smallmolecule,None,-50,91,Human,326,0,1,4,3.7,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2c1cccc2
clozapine,944,Smallmolecule,None,-50,91,Human,326,0,1,4,3.7,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2c1cccc2
clozapine,944,Smallmolecule,None,-50,91,Human,326,0,1,4,3.7,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2c1cccc2
CP93129,1164,Smallmolecule,None,-,1,Human,215,1,3,2,1.2,O=c1ccc2c([nH]1)c(c[nH]2)C1=CCNCC1
cyamemazine,1248,Smallmolecule,None,-42,14,Human,323,4,0,4,4.4,N#Cc1ccc2c(c1)N(CC(CN(C)C)C)c1c(S2)cccc1
cyamemazine,1248,Smallmolecule,None,-42,14,Human,323,4,0,4,4.4,N#Cc1ccc2c(c1)N(CC(CN(C)C)C)c1c(S2)cccc1
cyamemazine,1248,Smallmolecule,None,-42,14,Human,323,4,0,4,4.4,N#Cc1ccc2c(c1)N(CC(CN(C)C)C)c1c(S2)cccc1
eletriptan,1518,Smallmolecule,None,-5,5,Human,382,6,1,3,3.8,CN1CCC[C@@H]1Cc1c[nH]c2c1cc(cc2)CCS(=O)(=O)c1ccccc1
eletriptan,1518,Smallmolecule,None,-5,5,Human,382,6,1,3,3.8,CN1CCC[C@@H]1Cc1c[nH]c2c1cc(cc2)CCS(=O)(=O)c1ccccc1
EMDT,1524,Smallmolecule,None,-6,7,Human,246,5,1,2,2.8,CCc1[nH]c2c(c1CCN(C)C)cc(cc2)OC
EMDT,1524,Smallmolecule,None,-6,7,Human,246,5,1,2,2.8,CCc1[nH]c2c(c1CCN(C)C)cc(cc2)OC
FG-5893,1605,Smallmolecule,None,-,1,Human,465,8,0,5,4.9,COC(=O)c1cccnc1N1CCN(CC1)CCCC(c1ccc(cc1)F)c1ccc(cc1)F
flesinoxan,1620,Smallmolecule,None,3,3,Human,415,6,2,6,1.5,OC[C@H]1COc2c(O1)cccc2N1CCN(CC1)CCNC(=O)c1ccc(cc1)F
flibanserin,1621,Smallmolecule,None,1,9,Human,390,4,1,4,3.2,O=c1[nH]c2c(n1CCN1CCN(CC1)c1cccc(c1)C(F)(F)F)cccc2
flibanserin,1621,Smallmolecule,None,1,9,Human,390,4,1,4,3.2,O=c1[nH]c2c(n1CCN1CCN(CC1)c1cccc(c1)C(F)(F)F)cccc2
flibanserin,1621,Smallmolecule,None,1,9,Human,390,4,1,4,3.2,O=c1[nH]c2c(n1CCN1CCN(CC1)c1cccc(c1)C(F)(F)F)cccc2
fluparoxan,1629,Smallmolecule,3H-8-OH-DPAT,-125,16,Human,195,0,1,3,0.9,Fc1cccc2c1O[C@H]1CNC[C@@H]1O2
fluparoxan,1629,Smallmolecule,3H-8-OH-DPAT,-125,16,Human,195,0,1,3,0.9,Fc1cccc2c1O[C@H]1CNC[C@@H]1O2
frovatriptan,1662,Smallmolecule,None,-5,3,Human,243,2,4,2,2.1,CN[C@H]1Cc2c(CC1)[nH]c1c2cc(cc1)C(=N)O
frovatriptan,1662,Smallmolecule,None,-5,3,Human,243,2,4,2,2.1,CN[C@H]1Cc2c(CC1)[nH]c1c2cc(cc1)C(=N)O
frovatriptan,1662,Smallmolecule,None,-5,3,Human,243,2,4,2,2.1,CN[C@H]1Cc2c(CC1)[nH]c1c2cc(cc1)C(=N)O
GR125,743,1813,Smallmolecule,None,-,1,GuidetoPharmacology,416,5,1,5,4.1
GR127935,1814,Smallmolecule,None,-77,17,Human,497,6,1,7,5,COc1ccc(cc1N1CCN(CC1)C)NC(=O)c1ccc(cc1)c1ccc(cc1C)c1noc(n1)C
GR127935,1814,Smallmolecule,None,-77,17,Human,497,6,1,7,5,COc1ccc(cc1N1CCN(CC1)C)NC(=O)c1ccc(cc1)c1ccc(cc1C)c1noc(n1)C
GR127935,1814,Smallmolecule,None,-77,17,Human,497,6,1,7,5,COc1ccc(cc1N1CCN(CC1)C)NC(=O)c1ccc(cc1)c1ccc(cc1C)c1noc(n1)C
GR218,231,1820,Smallmolecule,None,-125,3,GuidetoPharmacology,415,9,0,4,4.6
haloperidol,1880,Smallmolecule,3H-WAY100635,-1071,85,Human,375,6,1,3,4.4,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl
haloperidol,1880,Smallmolecule,3H-WAY100635,-1071,85,Human,375,6,1,3,4.4,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl
haloperidol,1880,Smallmolecule,3H-WAY100635,-1071,85,Human,375,6,1,3,4.4,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl
haloperidol,1880,Smallmolecule,3H-WAY100635,-1071,85,Human,375,6,1,3,4.4,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl
haloperidol,1880,Smallmolecule,3H-WAY100635,-1071,85,Human,375,6,1,3,4.4,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl
iloperidone,1975,Smallmolecule,None,-52,44,Human,426,8,0,6,4.8,COc1cc(ccc1OCCCN1CCC(CC1)c1noc2c1ccc(c2)F)C(=O)C
iloperidone,1975,Smallmolecule,None,-52,44,Human,426,8,0,6,4.8,COc1cc(ccc1OCCCN1CCC(CC1)c1noc2c1ccc(c2)F)C(=O)C
iloperidone,1975,Smallmolecule,None,-52,44,Human,426,8,0,6,4.8,COc1cc(ccc1OCCCN1CCC(CC1)c1noc2c1ccc(c2)F)C(=O)C
p-MPPI,2030,Smallmolecule,3H-DPAT,-2,2,Human,542,7,0,5,4.2,COc1ccccc1N1CCN(CC1)CCN(C(=O)c1ccc(cc1)I)c1ccccn1
p-MPPI,2030,Smallmolecule,3H-DPAT,-2,2,Human,542,7,0,5,4.2,COc1ccccc1N1CCN(CC1)CCN(C(=O)c1ccc(cc1)I)c1ccccn1
ipsapirone,2032,Smallmolecule,None,-1,17,Human,401,6,0,7,1.2,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(CC1)c1ncccn1
ipsapirone,2032,Smallmolecule,None,-1,17,Human,401,6,0,7,1.2,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(CC1)c1ncccn1
ipsapirone,2032,Smallmolecule,None,-1,17,Human,401,6,0,7,1.2,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(CC1)c1ncccn1
ipsapirone,2032,Smallmolecule,None,-1,17,Human,401,6,0,7,1.2,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(CC1)c1ncccn1
(R)-flurocarazolol,2039,Smallmolecule,None,2,2,Human,316,7,3,3,3,FCC(NC[C@H](COc1cccc2c1c1ccccc1[nH]2)O)C
(S)-flurocarazolol,2053,Smallmolecule,None,10,2,Human,316,7,3,3,3,FCC(NC[C@@H](COc1cccc2c1c1ccccc1[nH]2)O)C
ketanserin,2150,Smallmolecule,None,-1318,51,Human,395,5,1,5,2.4,Fc1ccc(cc1)C(=O)C1CCN(CC1)CCn1c(=O)[nH]c2c(c1=O)cccc2
ketanserin,2150,Smallmolecule,None,-1318,51,Human,395,5,1,5,2.4,Fc1ccc(cc1)C(=O)C1CCN(CC1)CCn1c(=O)[nH]c2c(c1=O)cccc2
ketanserin,2150,Smallmolecule,None,-1318,51,Human,395,5,1,5,2.4,Fc1ccc(cc1)C(=O)C1CCN(CC1)CCn1c(=O)[nH]c2c(c1=O)cccc2
ketanserin,2150,Smallmolecule,None,-1318,51,Human,395,5,1,5,2.4,Fc1ccc(cc1)C(=O)C1CCN(CC1)CCn1c(=O)[nH]c2c(c1=O)cccc2
L-694,247,2205,Smallmolecule,None,1,3,GuidetoPharmacology,411,7,3,6,2.7
L-694,247,2205,Smallmolecule,None,1,3,ChEMBL,411,7,3,6,2.7
lisuride,2294,Smallmolecule,None,-3,43,Human,338,3,2,2,2.8,CCN(C(=O)N[C@@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
lisuride,2294,Smallmolecule,None,-3,43,Human,338,3,2,2,2.8,CCN(C(=O)N[C@@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
lisuride,2294,Smallmolecule,None,-3,43,Human,338,3,2,2,2.8,CCN(C(=O)N[C@@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
lisuride,2294,Smallmolecule,None,-3,43,Human,338,3,2,2,2.8,CCN(C(=O)N[C@@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
lisuride,2294,Smallmolecule,None,-3,43,Human,338,3,2,2,2.8,CCN(C(=O)N[C@@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
LP-12,2318,Smallmolecule,UNDEFINED,-478,5,Human,481,9,1,3,6.2,O=C(NC1CCCc2c1cccc2)CCCCCN1CCN(CC1)c1ccccc1c1ccccc1
LP-12,2318,Smallmolecule,UNDEFINED,-478,5,Human,481,9,1,3,6.2,O=C(NC1CCCc2c1cccc2)CCCCCN1CCN(CC1)c1ccccc1c1ccccc1
LP-12,2318,Smallmolecule,UNDEFINED,-478,5,Human,481,9,1,3,6.2,O=C(NC1CCCc2c1cccc2)CCCCCN1CCN(CC1)c1ccccc1c1ccccc1
LP-211,2319,Smallmolecule,None,-407,7,Human,466,10,1,4,5.2,N#Cc1ccc(cc1)CNC(=O)CCCCCN1CCN(CC1)c1ccccc1c1ccccc1
LP-211,2319,Smallmolecule,None,-407,7,Human,466,10,1,4,5.2,N#Cc1ccc(cc1)CNC(=O)CCCCCN1CCN(CC1)c1ccccc1c1ccccc1
LP-211,2319,Smallmolecule,None,-407,7,Human,466,10,1,4,5.2,N#Cc1ccc(cc1)CNC(=O)CCCCCN1CCN(CC1)c1ccccc1c1ccccc1
LP-44,2321,Smallmolecule,None,-239,6,Human,451,9,1,4,5.3,CSc1ccccc1N1CCN(CC1)CCCCCC(=O)NC1CCCc2c1cccc2
LP-44,2321,Smallmolecule,None,-239,6,Human,451,9,1,4,5.3,CSc1ccccc1N1CCN(CC1)CCCCCC(=O)NC1CCCc2c1cccc2
LY165,163,2364,Smallmolecule,None,630,2,GuidetoPharmacology,349,4,1,3,3.7
LY293284,2374,Smallmolecule,None,-,1,Human,298,6,1,2,4,CCCN([C@H]1Cc2c[nH]c3c2c(C1)c(cc3)C(=O)C)CCC
LY334370,2383,Smallmolecule,None,-14,4,Human,351,3,2,2,4.4,CN1CCC(CC1)c1c[nH]c2c1cc(cc2)NC(=O)c1ccc(cc1)F
LY334370,2383,Smallmolecule,None,-14,4,Human,351,3,2,2,4.4,CN1CCC(CC1)c1c[nH]c2c1cc(cc2)NC(=O)c1ccc(cc1)F
LY344864,2385,Smallmolecule,3H-5HT,-83,13,Human,351,3,2,2,4,CN(C1CCc2c(C1)c1cc(ccc1[nH]2)NC(=O)c1ccc(cc1)F)C
LY344864,2385,Smallmolecule,3H-5HT,-83,13,Human,351,3,2,2,4,CN(C1CCc2c(C1)c1cc(ccc1[nH]2)NC(=O)c1ccc(cc1)F)C
Lysergide,2396,Smallmolecule,3H-WB4101,-6,44,Human,323,3,1,2,2.9,CCN(C(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
Lysergide,2396,Smallmolecule,3H-WB4101,-6,44,Human,323,3,1,2,2.9,CCN(C(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
Lysergide,2396,Smallmolecule,3H-WB4101,-6,44,Human,323,3,1,2,2.9,CCN(C(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
Lysergide,2396,Smallmolecule,3H-WB4101,-6,44,Human,323,3,1,2,2.9,CCN(C(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
mesoridazine,2456,Smallmolecule,None,-17,21,Human,386,4,0,4,4.9,CN1CCCCC1CCN1c2ccccc2Sc2c1cc(cc2)S(=O)C
mesoridazine,2456,Smallmolecule,None,-17,21,Human,386,4,0,4,4.9,CN1CCCCC1CCN1c2ccccc2Sc2c1cc(cc2)S(=O)C
mesoridazine,2456,Smallmolecule,None,-17,21,Human,386,4,0,4,4.9,CN1CCCCC1CCN1c2ccccc2Sc2c1cc(cc2)S(=O)C
methiothepin,2466,Smallmolecule,3H-SPIPERONE,-58,33,Human,356,2,0,4,4.4,CSc1ccc2c(c1)C(Cc1c(S2)cccc1)N1CCN(CC1)C
methiothepin,2466,Smallmolecule,3H-SPIPERONE,-58,33,Human,356,2,0,4,4.4,CSc1ccc2c(c1)C(Cc1c(S2)cccc1)N1CCN(CC1)C
methiothepin,2466,Smallmolecule,3H-SPIPERONE,-58,33,Human,356,2,0,4,4.4,CSc1ccc2c(c1)C(Cc1c(S2)cccc1)N1CCN(CC1)C
MPDT,2574,Smallmolecule,None,-47,6,Human,294,5,1,2,3.9,COc1ccc2c(c1)c(CCN(C)C)c([nH]2)c1ccccc1
MPDT,2574,Smallmolecule,None,-47,6,Human,294,5,1,2,3.9,COc1ccc2c(c1)c(CCN(C)C)c([nH]2)c1ccccc1
nafadotride,2674,Smallmolecule,None,-165,5,Human,365,7,1,4,3.7,CCCCN1CCCC1CNC(=O)c1cc(C#N)c2c(c1OC)cccc2
NAN190,2689,Smallmolecule,None,-8,12,Human,393,7,0,5,2.9,COc1ccccc1N1CCN(CC1)CCCCN1C(=O)c2c(C1=O)cccc2
NAN190,2689,Smallmolecule,None,-8,12,Human,393,7,0,5,2.9,COc1ccccc1N1CCN(CC1)CCCCN1C(=O)c2c(C1=O)cccc2
NAN190,2689,Smallmolecule,None,-8,12,Human,393,7,0,5,2.9,COc1ccccc1N1CCN(CC1)CCCCN1C(=O)c2c(C1=O)cccc2
naratriptan,2695,Smallmolecule,None,-12,5,Human,335,5,2,3,2.1,CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C1CCN(CC1)C
naratriptan,2695,Smallmolecule,None,-12,5,Human,335,5,2,3,2.1,CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C1CCN(CC1)C
naratriptan,2695,Smallmolecule,None,-12,5,Human,335,5,2,3,2.1,CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C1CCN(CC1)C
NLX-101,2788,Smallmolecule,None,-1,2,Human,394,5,1,4,3.3,Cc1cnc(nc1)CNCC1(F)CCN(CC1)C(=O)c1ccc(c(c1)Cl)F
NLX-101,2788,Smallmolecule,None,-1,2,Human,394,5,1,4,3.3,Cc1cnc(nc1)CNCC1(F)CCN(CC1)C(=O)c1ccc(c(c1)Cl)F
NLX-101,2788,Smallmolecule,None,-1,2,Human,394,5,1,4,3.3,Cc1cnc(nc1)CNCC1(F)CCN(CC1)C(=O)c1ccc(c(c1)Cl)F
ocaperidone,2861,Smallmolecule,3H-8-OH-DPAT,-58,5,Human,420,4,0,6,4,Fc1ccc2c(c1)onc2C1CCN(CC1)CCc1c(C)nc2n(c1=O)cccc2C
ocaperidone,2861,Smallmolecule,3H-8-OH-DPAT,-58,5,Human,420,4,0,6,4,Fc1ccc2c(c1)onc2C1CCN(CC1)CCc1c(C)nc2n(c1=O)cccc2C
olanzapine,2869,Smallmolecule,None,-676,65,Human,312,1,1,5,1.7,CN1CCN(CC1)C1=c2cc(sc2=Nc2c(N1)cccc2)C
olanzapine,2869,Smallmolecule,None,-676,65,Human,312,1,1,5,1.7,CN1CCN(CC1)C1=c2cc(sc2=Nc2c(N1)cccc2)C
olanzapine,2869,Smallmolecule,None,-676,65,Human,312,1,1,5,1.7,CN1CCN(CC1)C1=c2cc(sc2=Nc2c(N1)cccc2)C
olanzapine,2869,Smallmolecule,None,-676,65,Human,312,1,1,5,1.7,CN1CCN(CC1)C1=c2cc(sc2=Nc2c(N1)cccc2)C
olanzapine,2869,Smallmolecule,None,-676,65,Human,312,1,1,5,1.7,CN1CCN(CC1)C1=c2cc(sc2=Nc2c(N1)cccc2)C
pergolide,3005,Smallmolecule,None,-4,33,Human,314,4,1,2,4.3,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc1c[nH]c3c1c2ccc3
pergolide,3005,Smallmolecule,None,-4,33,Human,314,4,1,2,4.3,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc1c[nH]c3c1c2ccc3
pergolide,3005,Smallmolecule,None,-4,33,Human,314,4,1,2,4.3,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc1c[nH]c3c1c2ccc3
pergolide,3005,Smallmolecule,None,-4,33,Human,314,4,1,2,4.3,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc1c[nH]c3c1c2ccc3
CHEMBL158941,52036,Smallmolecule,UNDEFINED,-27,3,Human,692,16,2,6,4.8,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N(C)Cc3ccc(CN(C)S(=O)(=O)Cc4ccc5[nH]cc(CCN(C)C)c5c4)cc3)cc12
CHEMBL158941,52036,Smallmolecule,UNDEFINED,-27,3,Human,692,16,2,6,4.8,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N(C)Cc3ccc(CN(C)S(=O)(=O)Cc4ccc5[nH]cc(CCN(C)C)c5c4)cc3)cc12
CHEMBL144030,35464,Smallmolecule,UNDEFINED,-15,3,Human,454,10,4,4,4.8,NCCc1c[nH]c2ccc(OCc3ccc(COc4ccc5[nH]cc(CCN)c5c4)cc3)cc12
CHEMBL144030,35464,Smallmolecule,UNDEFINED,-15,3,Human,454,10,4,4,4.8,NCCc1c[nH]c2ccc(OCc3ccc(COc4ccc5[nH]cc(CCN)c5c4)cc3)cc12
CHEMBL567001,195340,Smallmolecule,None,-,1,Human,231,2,1,2,2.9,CCCN1CC[C@@H]2c3c(O)cccc3CC[C@@H]21
